chain,n,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
Ising,3,0.0,0.25,Kolmogorov,2942620,1370500,1.0834766661594966,,
Ising,3,0.0,0.25,parallelGibbs,1076155,1069579,1.0834766661594966,1.0725081812542165,-0.01012341589612542
Ising,3,0.0,0.25,superGibbs,1073415,1069579,1.0834766661594966,1.0725081812542163,-0.010123415896125643
Ising,3,0.0,0.1,Kolmogorov,10845898,1585570,1.0834766661594966,,
Ising,3,0.0,0.1,parallelGibbs,1090129,1069579,1.0834766661594966,1.0725081812542165,-0.01012341589612542
Ising,3,0.0,0.1,superGibbs,1077251,1069579,1.0834766661594966,1.0725081812542163,-0.010123415896125643
Ising,3,0.0,0.075,Kolmogorov,18256194,1679322,1.0834766661594966,,
Ising,3,0.0,0.075,parallelGibbs,1106843,1069579,1.0834766661594966,1.0725081812542165,-0.01012341589612542
Ising,3,0.0,0.075,superGibbs,1079443,1069579,1.0834766661594966,1.0725081812542163,-0.010123415896125643
Ising,3,0.0,0.05,Kolmogorov,39841805,1747721,1.0834766661594966,,
Ising,3,0.0,0.05,parallelGibbs,1152053,1069579,1.0834766661594966,1.0725081812542165,-0.01012341589612542
Ising,3,0.0,0.05,superGibbs,1088759,1069579,1.0834766661594966,1.0725081812542163,-0.010123415896125643
Ising,3,0.0,0.025,Kolmogorov,163038395,1903475,1.0834766661594966,,
Ising,3,0.0,0.025,parallelGibbs,1452083,1069579,1.0834766661594966,1.0805640864691073,-0.00268817943326205
Ising,3,0.0,0.025,superGibbs,1169315,1069579,1.0834766661594966,1.0725081812542163,-0.010123415896125643
Ising,3,0.0,0.01,Kolmogorov,1103616279,2165223,1.0834766661594966,,
Ising,3,0.0,0.01,parallelGibbs,3075533,1069579,1.0834766661594966,1.0834952221658902,1.7126355345897792e-05
Ising,3,0.0,0.01,superGibbs,1793487,1069579,1.0834766661594966,1.0834074000207838,-6.392951585953988e-05
Ising,3,0.0,0.0075,Kolmogorov,1010141909,2209301,1.0834766661594966,,
Ising,3,0.0,0.0075,parallelGibbs,3895067,1069579,1.0834766661594966,1.0834429032776465,-3.116161418570407e-05
Ising,3,0.0,0.0075,superGibbs,2381491,1069579,1.0834766661594966,1.0835125819382176,3.3148640707025834e-05
Ising,3,0.0,0.005,Kolmogorov,4726221118,2357710,1.0834766661594966,,
Ising,3,0.0,0.005,parallelGibbs,5719359,1069579,1.0834766661594966,1.0834788580675183,2.023032050546547e-06
Ising,3,0.0,0.005,superGibbs,3752039,1069579,1.0834766661594966,1.0834428245307854,-3.1234293979887084e-05
Ising,3,0.0,0.0025,Kolmogorov,20239469857,2522053,1.0834766661594966,,
Ising,3,0.0,0.0025,parallelGibbs,11057975,1069579,1.0834766661594966,1.0834611109580077,-1.4356748026744803e-05
Ising,3,0.0,0.0025,superGibbs,6643287,1069579,1.0834766661594966,1.0835014304842692,2.285635265253383e-05
Ising,3,0.0,0.001,Kolmogorov,137777161046,2740262,1.0834766661594966,,
Ising,3,0.0,0.001,parallelGibbs,28564109,1069579,1.0834766661594966,1.0834701126659911,-6.04857834973771e-06
Ising,3,0.0,0.001,superGibbs,15470471,1069579,1.0834766661594966,1.0834783223999396,1.5286350825149952e-06
Ising,3,0.0,0.0005,Kolmogorov,585849984515,2855339,1.0834766661594966,,
